,CLAC3_NM,CLAC2_NM,CLAC1_NM,NUM_PD_C,NUM_CLNT_ID,NUM_CLSE_ID,NUM_BRA_NM,TOT_HITS,TOT_PROFIT,TOT_SALES,AVG_HITS,AVG_PROFIT,F,M,AGE10,AGE20,AGE30,AGE40,AGE50,AGE60,AGE70,AGE80,TOT_SESS_SEQ,TOT_PAGE_VIEW,TOT_SESS_HOUR,AVG_SESS_SEQ,AVG_PAGE_VIEW,AVG_SESS_HOUR,mobile,desktop,tablet,April,May,June,July,August,September,ZON_Daejeon,ZON_Busan,ZON_Gyeonggi-do,ZON_Seoul,ZON_Gyeongsangbuk-do,ZON_Jeollabuk-do,ZON_Chungcheongbuk-do,ZON_Gangwon-do,ZON_Chungcheongnam-do,ZON_Incheon,ZON_Daegu,ZON_Gwangju,ZON_Gyeongsangnam-do,ZON_Jeju-do,ZON_Jeollanam-do,ZON_Ulsan,CITY_Daejeon,CITY_Busan,CITY_Anyang,CITY_Seoul,CITY_Gumi-si,CITY_Buan-gun,CITY_Cheongju-si,CITY_Chuncheon-si,CITY_Cheonan-si,CITY_Incheon,CITY_Daegu,CITY_Wonju-si,CITY_Seongnam-si,CITY_Goyang-si,CITY_Gwangmyeong-si,CITY_Uijeongbu-si,CITY_Namyangju-si,CITY_Jeonju-si,CITY_Cheorwon-gun,CITY_Hwaseong-si,CITY_Gwangju,CITY_Gimhae-si,CITY_Tongyeong-si,CITY_Seogwipo-si,CITY_Ansan-si,CITY_Naju-si,CITY_Ulsan,CITY_Anseong,CITY_Gimcheon-si,CITY_Yongin-si,CITY_Namwon-si,CITY_Bucheon-si,CITY_Gunsan-si,CITY_Yeosu-si,CITY_Sacheon-si,CITY_Osan-si,CITY_Dangjin-si,CITY_Gunpo-si,CITY_Hanam-si,CITY_Gongju-si,CITY_Seocheon-gun,CITY_Yeongi-gun,CITY_Siheung-si,CITY_Paju-si,CITY_Yangsan-si,CITY_Gyeongju-si,CITY_Goseong-gun,CITY_Iksan,CITY_Yeongcheon-si,CITY_Suncheon-si,CITY_Pohang-si,CITY_Pyeongchang-gun,CITY_Suwon-si,CITY_Jincheon-gun,CITY_Nonsan-si,CITY_Mokpo-si,CITY_Muan-gun,CITY_Haman-gun,CITY_Geoje-si,CITY_Chilgok-gun,CITY_Hampyeong-gun,CITY_Gangneung-si,CITY_Ulleung-gun,CITY_Icheon-si,CITY_Chungju-si,CITY_Pyeongtaek-si,CITY_Taean-gun,CITY_Gwangju-si,CITY_Dongducheon-si,CITY_Gwangyang-si,CITY_Gimpo-si,CITY_Jeongeup-si,CITY_Hadong-gun,CITY_Uiwang-si,CITY_Jeju-si,CITY_Gyeongsan-si,CITY_Yeongju-si,CITY_Pocheon-si,CITY_Yangpyeong-gun,CITY_Donghae-si,CITY_Gwacheon-si,CITY_Uiseong-gun,CITY_Jinju-si,CITY_Yecheon-gun,CITY_Asan-si,CITY_Hwacheon-gun,CITY_Sangju-si,CITY_Seosan-si,CITY_Okcheon-gun,CITY_Gimje-si,CITY_Cheongwon-gun,CITY_Gangjin-gun,CITY_Eumseong-gun,CITY_Uljin-gun,CITY_Guri-si,CITY_Inje-gun,CITY_Boeun-gun,CITY_Andong,CITY_Boseong-gun,CITY_Yeongwol-gun,CITY_Buyeo-gun,CITY_Hongseong-gun,CITY_Hapcheon-gun,CITY_Jecheon-si,CITY_Damyang-gun,CITY_Goryeong-gun,CITY_Changnyeong-gun,CITY_Yeongyang-gun,CITY_Yeonggwang-gun,CITY_Uiryeong-gun,CITY_Samcheok-si,CITY_Namhae-gun,CITY_Jangheung-gun,CITY_Yeoncheon-gun,CITY_Mungyeong-si,CITY_Yangju-si,CITY_Jangseong-gun,CITY_Gochang-gun,CITY_Miryang-si,CITY_Boryeong-si,CITY_Yanggu-gun,CITY_Wando-gun,CITY_Jeongseon-gun,CITY_Imsil-gun,CITY_Danyang-gun,CITY_Haenam-gun,CITY_Geochang-gun,CITY_Bonghwa-gun,CITY_Sokcho-si,CITY_Muju-gun,CITY_Yeongam-gun,CITY_Yeoju-gun,CITY_Taebaek-si,CITY_Gokseong-gun,CITY_Yeongdong-gun,CITY_Jeungpyeong-gun,CITY_Hwasun-gun,CITY_Sinan-gun,CITY_Jangsu-gun,CITY_Hamyang-gun,CITY_Hongcheon-gun,CITY_Yesan-gun,CITY_Geumsan-gun,CITY_Wanju-gun,CITY_Jinan-gun,CITY_Gyeryong-si,CITY_Gapyeong-gun,CITY_Sunchang-gun,CITY_Cheongsong-gun,CITY_Seongju-gun,CITY_Goheung-gun,CITY_Yeongdeok-gun,CITY_Yangyang-gun,CITY_Sancheong-gun,CITY_Hoengseong-gun,CITY_Cheongdo-gun,CITY_Goesan-gun,CITY_Jindo-gun,CITY_Gurye-gun,CITY_Cheongyang-gun,CITY_(not set),CITY_Gunwi-gun,CITY_Masan
203,냉동고,냉장/냉동고,냉장/세탁가전,22,162,192,7,14244,167598330,252,56.52,665072.74,124.0,37.0,,10.0,64.0,58.0,25.0,4.0,,,25723,20633.0,387618.0,102.08,81.88,1538.17,188.0,63.0,1.0,11.0,35.0,45.0,73.0,54.0,34.0,3.0,30.0,33.0,87.0,9.0,20.0,4.0,5.0,1.0,5.0,16.0,15.0,10.0,2.0,8.0,4.0,3.0,30.0,5.0,87.0,1.0,,4.0,1.0,,5.0,16.0,,2.0,5.0,1.0,,2.0,,,1.0,15.0,7.0,,,2.0,1.0,4.0,,,2.0,3.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,2.0,,15.0,,,3.0,2.0,5.0,,,3.0,,2.0,,,2.0,,,,,2.0,1.0,,,,,,,,2.0,,,,,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,냉동국탕류,냉동간편식,냉동식품,222,752,919,48,147431,26413520,2490,59.21,10607.84,1360.0,425.0,1.0,41.0,457.0,1006.0,205.0,75.0,,,514024,190261.0,4013841.0,206.44,76.41,1611.98,1827.0,647.0,16.0,433.0,352.0,337.0,511.0,475.0,382.0,44.0,215.0,497.0,980.0,64.0,32.0,42.0,73.0,182.0,92.0,47.0,42.0,47.0,76.0,20.0,37.0,44.0,215.0,49.0,980.0,11.0,,31.0,13.0,15.0,92.0,47.0,33.0,17.0,75.0,41.0,31.0,42.0,9.0,1.0,29.0,42.0,26.0,1.0,38.0,20.0,,37.0,1.0,,31.0,,7.0,2.0,11.0,,8.0,1.0,4.0,,4.0,1.0,13.0,35.0,1.0,1.0,1.0,2.0,20.0,,2.0,23.0,,14.0,,6.0,,,10.0,1.0,1.0,,1.0,,30.0,,13.0,,4.0,1.0,3.0,10.0,,,5.0,38.0,1.0,1.0,11.0,4.0,,1.0,7.0,4.0,,137.0,,4.0,2.0,4.0,,2.0,,,10.0,11.0,6.0,,3.0,,,,,,5.0,,,,,2.0,,,,,,1.0,1.0,,,2.0,1.0,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,1.0,,,1.0,,,,,13.0,,,,,,,,
205,냉동디저트,냉동간편식,냉동식품,1,4,4,1,927,32500,13,71.31,2500.0,13.0,,,,,11.0,,2.0,,,2623,984.0,13050.0,201.77,75.69,1003.85,13.0,,,7.0,6.0,,,,,,4.0,2.0,,,,6.0,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,냉동떡볶이,냉동간편식,냉동식품,9,83,95,5,17475,1535050,324,53.94,4737.81,204.0,50.0,,8.0,138.0,94.0,14.0,,,,50112,22297.0,397754.0,154.67,68.82,1227.64,256.0,68.0,,81.0,69.0,69.0,51.0,32.0,22.0,1.0,43.0,66.0,108.0,11.0,1.0,,,7.0,4.0,31.0,9.0,12.0,25.0,1.0,5.0,1.0,43.0,4.0,108.0,,,,,5.0,4.0,31.0,,7.0,2.0,,,15.0,,,7.0,9.0,1.0,,25.0,9.0,,5.0,3.0,,,,3.0,1.0,,,,,,,,,,,,,4.0,2.0,,,,3.0,,5.0,,,,,2.0,7.0,,,,,7.0,,,,4.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
207,냉동만두,냉동간편식,냉동식품,251,1448,1668,31,184779,31781230,2631,70.23,12079.52,1639.0,273.0,2.0,156.0,702.0,847.0,183.0,21.0,1.0,,570626,224604.0,4466830.0,216.89,85.37,1697.77,1975.0,639.0,17.0,482.0,454.0,565.0,456.0,406.0,268.0,41.0,267.0,434.0,1074.0,111.0,67.0,50.0,28.0,93.0,123.0,113.0,32.0,111.0,6.0,47.0,34.0,41.0,267.0,75.0,1074.0,20.0,,35.0,6.0,20.0,123.0,113.0,9.0,33.0,51.0,2.0,13.0,18.0,39.0,4.0,28.0,32.0,33.0,8.0,,16.0,7.0,34.0,3.0,7.0,33.0,2.0,15.0,20.0,13.0,1.0,2.0,33.0,3.0,10.0,5.0,,12.0,9.0,10.0,14.0,15.0,4.0,5.0,,4.0,30.0,,39.0,,1.0,3.0,3.0,11.0,3.0,,,4.0,1.0,14.0,2.0,16.0,,8.0,1.0,10.0,10.0,,2.0,1.0,6.0,3.0,6.0,,1.0,,3.0,1.0,26.0,,8.0,,4.0,2.0,,1.0,6.0,2.0,3.0,7.0,3.0,,,6.0,,,3.0,4.0,1.0,3.0,,,3.0,,,1.0,,,2.0,,2.0,17.0,,,,,,,,,,1.0,4.0,1.0,,,2.0,,2.0,,,1.0,,,,,3.0,,5.0,,,,,,,,,4.0,,,,4.0,,,,,,,
208,냉동면,냉동간편식,냉동식품,3,15,17,3,827,242100,19,43.53,12742.11,12.0,,,,2.0,3.0,7.0,,,,6402,1197.0,24571.0,336.95,63.0,1293.21,14.0,5.0,,,11.0,3.0,,5.0,,,1.0,8.0,8.0,1.0,,1.0,,,,,,,,,,,1.0,2.0,8.0,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,냉동밥,냉동간편식,냉동식품,141,623,727,15,195440,17349050,2812,69.5,6169.65,1550.0,358.0,,90.0,690.0,983.0,131.0,14.0,,,506047,231602.0,4585959.0,179.96,82.36,1630.85,1968.0,827.0,17.0,765.0,570.0,431.0,481.0,412.0,153.0,53.0,414.0,388.0,1160.0,119.0,78.0,42.0,42.0,79.0,122.0,43.0,28.0,182.0,9.0,32.0,21.0,53.0,414.0,28.0,1160.0,16.0,4.0,28.0,1.0,14.0,122.0,43.0,17.0,35.0,6.0,3.0,22.0,24.0,48.0,,47.0,28.0,108.0,2.0,6.0,3.0,,21.0,,6.0,25.0,,23.0,8.0,11.0,26.0,7.0,3.0,,6.0,8.0,,16.0,4.0,3.0,5.0,1.0,5.0,8.0,,12.0,47.0,,68.0,2.0,,1.0,,35.0,1.0,,,8.0,,1.0,3.0,29.0,,,6.0,5.0,3.0,,,,3.0,,1.0,,,6.0,5.0,,,20.0,3.0,,3.0,9.0,,,4.0,,,1.0,23.0,2.0,,16.0,,,1.0,25.0,,5.0,,,,,,,1.0,,,,4.0,1.0,2.0,2.0,4.0,,,,,,,1.0,1.0,1.0,,,,15.0,,,,,,,,,2.0,,,,,,1.0,8.0,,,,3.0,,,,,,,,,,,
210,냉동부침,냉동간편식,냉동식품,8,75,82,3,8234,1355000,102,80.73,13284.31,58.0,6.0,,1.0,24.0,32.0,1.0,6.0,,,22527,10251.0,189170.0,220.85,100.5,1854.61,71.0,31.0,,27.0,15.0,21.0,12.0,8.0,19.0,5.0,18.0,19.0,32.0,6.0,2.0,,2.0,3.0,6.0,3.0,1.0,4.0,,,1.0,5.0,18.0,1.0,32.0,,,,,1.0,6.0,3.0,,3.0,,,,3.0,,,3.0,1.0,2.0,1.0,,1.0,,1.0,,5.0,1.0,,2.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,냉동튀김,냉동간편식,냉동식품,43,324,353,10,40634,6203070,559,72.69,11096.73,389.0,60.0,,11.0,179.0,207.0,50.0,2.0,,,135427,48921.0,992921.0,242.27,87.52,1776.25,463.0,94.0,2.0,134.0,110.0,105.0,59.0,89.0,62.0,7.0,49.0,86.0,238.0,21.0,14.0,9.0,11.0,21.0,21.0,10.0,16.0,31.0,12.0,2.0,11.0,7.0,49.0,9.0,238.0,3.0,,7.0,,2.0,21.0,10.0,6.0,7.0,9.0,1.0,3.0,9.0,4.0,,10.0,16.0,10.0,2.0,7.0,5.0,,11.0,3.0,1.0,9.0,,2.0,5.0,2.0,,,1.0,,1.0,1.0,,10.0,,,2.0,4.0,8.0,3.0,,,2.0,,8.0,,,,,2.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,5.0,,,,,2.0,1.0,,2.0,,,,7.0,1.0,,,2.0,,,1.0,6.0,,,1.0,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,
212,냉동피자,냉동간편식,냉동식품,4,22,23,1,1999,394970,27,74.04,14628.52,18.0,6.0,,,8.0,14.0,2.0,,,,9037,2362.0,39286.0,334.7,87.48,1455.04,24.0,3.0,,7.0,5.0,8.0,4.0,3.0,,1.0,3.0,2.0,14.0,2.0,,,,,1.0,,1.0,2.0,,,1.0,1.0,3.0,,14.0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
213,냉동핫도그,냉동간편식,냉동식품,56,918,1061,15,71964,31058520,1307,55.06,23763.21,890.0,174.0,,54.0,461.0,455.0,89.0,2.0,2.0,1.0,219443,88421.0,1720954.0,167.9,67.65,1316.72,1074.0,230.0,3.0,337.0,185.0,133.0,194.0,270.0,188.0,44.0,144.0,273.0,431.0,41.0,40.0,50.0,21.0,29.0,39.0,53.0,32.0,53.0,4.0,24.0,29.0,44.0,144.0,22.0,431.0,5.0,2.0,16.0,5.0,8.0,39.0,53.0,7.0,16.0,31.0,6.0,4.0,24.0,28.0,1.0,33.0,32.0,18.0,3.0,3.0,11.0,,29.0,3.0,1.0,18.0,,7.0,2.0,3.0,5.0,7.0,2.0,5.0,5.0,1.0,,8.0,3.0,4.0,6.0,9.0,,3.0,2.0,4.0,5.0,,24.0,,3.0,3.0,1.0,6.0,2.0,4.0,,2.0,,3.0,6.0,7.0,,3.0,11.0,2.0,4.0,2.0,,2.0,1.0,5.0,,1.0,2.0,,2.0,1.0,9.0,,2.0,,2.0,4.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,3.0,,,,,,24.0,2.0,,,,2.0,,,,,6.0,,4.0,,,1.0,,,1.0,1.0,1.0,,1.0,3.0,,,,1.0,1.0,,2.0,,,2.0,,,,3.0,,,1.0,,1.0,3.0,,,,,1.0,,,1.0,3.0,,,,,,,
214,냉온풍기,냉방가전,계절가전,42,126,150,5,12179,221241671,192,63.43,1152300.37,112.0,29.0,,5.0,49.0,62.0,23.0,2.0,,,24934,16723.0,398120.0,129.86,87.1,2073.54,144.0,46.0,2.0,5.0,19.0,29.0,73.0,62.0,4.0,6.0,19.0,34.0,67.0,5.0,6.0,4.0,4.0,7.0,2.0,4.0,6.0,5.0,18.0,4.0,1.0,6.0,19.0,2.0,67.0,,1.0,1.0,,1.0,2.0,4.0,,2.0,2.0,,,3.0,3.0,,4.0,6.0,1.0,,16.0,,,1.0,,,4.0,,,1.0,1.0,2.0,2.0,,1.0,,,,2.0,2.0,,,,2.0,1.0,,,1.0,,3.0,,1.0,3.0,,1.0,,,,1.0,,,2.0,,,,,,4.0,,,,2.0,,,2.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
215,냉장/냉동가전소모품,냉장/냉동고,냉장/세탁가전,2,15,16,1,823,658000,20,41.15,32900.0,14.0,4.0,,,12.0,5.0,1.0,,,,3390,1035.0,13626.0,169.5,51.75,681.3,18.0,2.0,,4.0,,4.0,4.0,6.0,2.0,,3.0,4.0,9.0,,,,,,2.0,2.0,,,,,,,3.0,,9.0,,,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,네비게이션,자동차음향/가전기기,자동차용품,20,113,135,2,7063,36337740,152,46.47,239064.08,50.0,56.0,,2.0,46.0,51.0,6.0,1.0,,,11870,9344.0,223138.0,78.09,61.47,1468.01,106.0,44.0,2.0,34.0,39.0,36.0,9.0,25.0,9.0,6.0,14.0,21.0,73.0,7.0,4.0,1.0,2.0,2.0,6.0,6.0,1.0,4.0,2.0,1.0,2.0,6.0,14.0,4.0,73.0,2.0,,,,,6.0,6.0,,6.0,,1.0,,,4.0,,,1.0,1.0,,2.0,,,2.0,,,3.0,,3.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,,2.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
217,네일세트,메이크업,화장품/뷰티케어,44,122,131,5,25300,1932600,264,95.83,7320.45,188.0,20.0,,5.0,95.0,99.0,9.0,,,,107364,32723.0,626362.0,406.68,123.95,2372.58,238.0,26.0,,14.0,28.0,56.0,61.0,68.0,37.0,3.0,31.0,49.0,71.0,42.0,11.0,13.0,5.0,5.0,,16.0,2.0,13.0,1.0,1.0,1.0,3.0,31.0,1.0,71.0,,,2.0,4.0,2.0,,16.0,,,2.0,1.0,,4.0,7.0,,6.0,2.0,3.0,,1.0,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,3.0,,,1.0,,5.0,,,,,1.0,7.0,,2.0,,,,1.0,32.0,,11.0,,,,,3.0,1.0,,,,,1.0,9.0,,,,,,1.0,,,,,4.0,,,,,,,,,,,3.0,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,4.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
218,네일케어도구,미용소품,화장품/뷰티케어,192,677,766,22,128367,9093150,1626,78.95,5592.34,1210.0,85.0,2.0,79.0,609.0,533.0,60.0,12.0,,,501264,156781.0,3069847.0,308.28,96.42,1887.97,1336.0,285.0,5.0,260.0,248.0,411.0,353.0,270.0,84.0,60.0,176.0,287.0,631.0,45.0,37.0,31.0,18.0,30.0,59.0,77.0,30.0,78.0,5.0,32.0,30.0,60.0,176.0,14.0,631.0,6.0,,9.0,1.0,10.0,59.0,77.0,,11.0,41.0,3.0,3.0,16.0,27.0,,16.0,30.0,38.0,,1.0,8.0,4.0,30.0,11.0,2.0,37.0,,20.0,4.0,8.0,6.0,5.0,3.0,2.0,5.0,6.0,1.0,6.0,14.0,3.0,6.0,9.0,2.0,3.0,,10.0,12.0,,8.0,1.0,1.0,6.0,,10.0,1.0,3.0,,3.0,,4.0,2.0,9.0,,11.0,,,15.0,2.0,,1.0,4.0,1.0,5.0,,1.0,,3.0,,5.0,,,2.0,6.0,,4.0,,6.0,,2.0,,24.0,2.0,,1.0,,,,2.0,,4.0,,,,,,,4.0,,,2.0,,,,,,1.0,,2.0,,,,,,,2.0,,,,1.0,,,3.0,,,,,3.0,,,1.0,,,,,,,2.0,,,10.0,,,,,,,,,
219,넥워머,패션액세서리,패션잡화,40,131,133,19,13888,2845070,171,81.22,16637.84,139.0,14.0,,2.0,103.0,43.0,4.0,1.0,,,42669,17312.0,301655.0,249.53,101.24,1764.06,152.0,16.0,3.0,49.0,38.0,15.0,15.0,14.0,40.0,2.0,8.0,30.0,57.0,15.0,7.0,3.0,6.0,2.0,10.0,6.0,7.0,11.0,,3.0,4.0,2.0,8.0,4.0,57.0,5.0,,1.0,3.0,,10.0,6.0,,,1.0,,,1.0,4.0,,6.0,7.0,5.0,,,2.0,1.0,4.0,,,2.0,,4.0,,,,1.0,,2.0,1.0,1.0,,,,,,6.0,,2.0,1.0,1.0,2.0,,3.0,,,1.0,,,2.0,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,3.0,,,3.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,노트북,컴퓨터/노트북,컴퓨터,202,763,1061,10,61127,1500398301,1306,46.8,1148850.15,465.0,233.0,3.0,109.0,221.0,279.0,68.0,13.0,3.0,2.0,99633,87630.0,1889899.0,76.29,67.1,1447.09,869.0,434.0,3.0,241.0,189.0,233.0,180.0,237.0,226.0,17.0,88.0,213.0,769.0,19.0,13.0,11.0,8.0,23.0,22.0,30.0,36.0,29.0,5.0,11.0,12.0,17.0,88.0,10.0,769.0,1.0,1.0,4.0,4.0,8.0,22.0,30.0,2.0,19.0,15.0,4.0,3.0,8.0,6.0,,8.0,36.0,13.0,,,7.0,,12.0,3.0,,10.0,,11.0,2.0,2.0,3.0,2.0,,5.0,8.0,,,10.0,3.0,3.0,4.0,1.0,,1.0,,2.0,9.0,,21.0,,,2.0,,1.0,3.0,1.0,,1.0,,2.0,3.0,5.0,1.0,5.0,,,56.0,,,,5.0,4.0,,,1.0,,,,4.0,,1.0,,2.0,,,3.0,1.0,,2.0,,3.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,3.0,,,,,,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,
221,노트북가방,캐쥬얼가방,패션잡화,738,1575,1719,98,144602,244667280,1877,77.04,130350.18,1378.0,174.0,2.0,115.0,649.0,644.0,123.0,19.0,,,308272,183897.0,3391217.0,164.24,97.97,1806.72,1573.0,300.0,4.0,426.0,363.0,286.0,257.0,273.0,272.0,37.0,228.0,292.0,727.0,57.0,68.0,24.0,32.0,43.0,58.0,75.0,59.0,102.0,17.0,34.0,24.0,37.0,228.0,22.0,727.0,8.0,2.0,8.0,9.0,11.0,58.0,75.0,7.0,21.0,35.0,1.0,11.0,18.0,34.0,,11.0,59.0,39.0,2.0,5.0,25.0,2.0,24.0,3.0,8.0,23.0,,14.0,11.0,6.0,3.0,3.0,2.0,6.0,2.0,4.0,2.0,4.0,8.0,13.0,11.0,10.0,2.0,13.0,,5.0,15.0,,23.0,3.0,,10.0,2.0,25.0,6.0,3.0,,4.0,1.0,6.0,7.0,8.0,,7.0,1.0,,8.0,6.0,,3.0,12.0,1.0,,2.0,1.0,2.0,4.0,,5.0,,8.0,1.0,1.0,5.0,,1.0,2.0,,,1.0,9.0,1.0,,7.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,2.0,,2.0,,,1.0,1.0,,1.0,1.0,,1.0,,3.0,2.0,,2.0,,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,,,
222,놀이방매트,유아안전용품,출산/육아용품,649,2247,2683,48,223227,581845553,4272,52.25,136199.8,3176.0,494.0,,345.0,2739.0,546.0,26.0,14.0,,,344306,286827.0,5845534.0,80.6,67.14,1368.34,3741.0,509.0,22.0,949.0,768.0,817.0,583.0,534.0,621.0,113.0,402.0,886.0,1465.0,101.0,97.0,88.0,66.0,147.0,222.0,206.0,107.0,182.0,35.0,74.0,81.0,113.0,402.0,49.0,1465.0,22.0,,34.0,24.0,29.0,222.0,206.0,22.0,62.0,78.0,11.0,17.0,49.0,46.0,4.0,93.0,107.0,57.0,4.0,1.0,46.0,9.0,81.0,6.0,,79.0,5.0,43.0,16.0,16.0,15.0,15.0,17.0,12.0,9.0,24.0,,9.0,25.0,25.0,46.0,11.0,,16.0,,15.0,33.0,,95.0,,,9.0,,25.0,20.0,6.0,,3.0,,6.0,17.0,18.0,1.0,14.0,4.0,12.0,35.0,9.0,,3.0,34.0,4.0,4.0,42.0,4.0,2.0,6.0,,10.0,2.0,34.0,,4.0,9.0,3.0,,16.0,,4.0,6.0,29.0,,,4.0,,,1.0,3.0,1.0,8.0,,,,2.0,5.0,,3.0,,2.0,,,2.0,,1.0,3.0,15.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,5.0,2.0,,,3.0,1.0,,,,3.0,2.0,,3.0,,3.0,4.0,,,,3.0,,,,,2.0,2.0,,,,,,
223,니삭스/오버니삭스,여성양말류,속옷/양말/홈웨어,32,81,91,7,15911,785490,222,71.67,3538.24,145.0,26.0,1.0,,70.0,99.0,,1.0,,,48047,19235.0,377445.0,216.43,86.64,1700.2,170.0,51.0,1.0,54.0,62.0,18.0,12.0,23.0,53.0,2.0,22.0,44.0,71.0,7.0,5.0,7.0,14.0,5.0,6.0,9.0,19.0,6.0,,,5.0,2.0,22.0,3.0,71.0,1.0,,7.0,2.0,,6.0,9.0,,,15.0,,,,4.0,,2.0,19.0,3.0,,,7.0,,5.0,,,7.0,,,,,,,5.0,,,,,,5.0,,,,,,,,6.0,,,,,,,3.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,1.0,,,,,,,,,,,,,,,,,,,
224,다기류,그릇/식기,식기/조리기구,28,75,78,9,6828,6452200,116,58.86,55622.41,95.0,3.0,2.0,10.0,27.0,50.0,9.0,,,,22273,8062.0,155371.0,192.01,69.5,1339.41,99.0,17.0,,24.0,15.0,13.0,19.0,18.0,27.0,2.0,11.0,24.0,28.0,7.0,2.0,1.0,3.0,1.0,8.0,2.0,2.0,9.0,10.0,5.0,1.0,2.0,11.0,,28.0,1.0,,,,,8.0,2.0,,,16.0,1.0,,2.0,,,,2.0,3.0,,10.0,,,1.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,3.0,4.0,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
